2,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU46749013434,2016/07/17 19:34:56,2016/07/18 00:00:00,USD,1750.00,USD,1750.00,A,,,,OUR,160718,2016-07-17T19:34:56.000000000-05:00,2016-07-18T00:34:56.000000000+00:00,2016/07/18 00:34:56,ANZ,WF,REQUEST
90,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071500189230,2016/07/18 07:34:44,2016/07/19 00:00:00,AUD,1624.46,AUD,1624.46,A,,,,SHA,160719,2016-07-18T07:34:44.000000000-05:00,2016-07-18T12:34:44.000000000+00:00,2016/07/18 12:34:44,WFB,ANZ,REQUEST
91,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071500195590,2016/07/18 07:34:46,2016/07/20 00:00:00,AUD,10000.00,AUD,10000.00,,,,,BEN,160720,2016-07-18T07:34:46.000000000-05:00,2016-07-18T12:34:46.000000000+00:00,2016/07/18 12:34:46,WFB,ANZ,REQUEST
90c,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071500189230,2016/07/18 07:39:44,2016/07/19 00:00:00,AUD,1624.46,AUD,1624.46,A,,,,SHA,160719,2016-07-18T07:39:44.000000000-05:00,2016-07-18T12:39:44.000000000+00:00,2016/07/18 12:39:44,WFB,ANZ,CONFIRM
91c,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071500195590,2016/07/18 07:39:46,2016/07/20 00:00:00,AUD,10000.00,AUD,10000.00,,,,,BEN,160720,2016-07-18T07:39:46.000000000-05:00,2016-07-18T12:39:46.000000000+00:00,2016/07/18 12:39:46,WFB,ANZ,CONFIRM
94,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042580,2016/07/18 10:10:43,2016/07/20 00:00:00,AUD,17681.16,USD,13511.94,A,,,,OUR,160720,2016-07-18T10:10:43.000000000-05:00,2016-07-18T15:10:43.000000000+00:00,2016/07/18 15:10:43,WFB,ANZ,REQUEST
95,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042740,2016/07/18 10:11:17,2016/07/20 00:00:00,AUD,95815.34,USD,73212.50,A,,,,OUR,160720,2016-07-18T10:11:17.000000000-05:00,2016-07-18T15:11:17.000000000+00:00,2016/07/18 15:11:17,WFB,ANZ,REQUEST
96,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042740,2016/07/18 10:11:17,2016/07/20 00:00:00,AUD,5507.55,USD,4208.87,A,,,,OUR,160720,2016-07-18T10:11:17.000000000-05:00,2016-07-18T15:11:17.000000000+00:00,2016/07/18 15:11:17,WFB,ANZ,REQUEST
94c,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042580,2016/07/18 10:15:43,2016/07/20 00:00:00,AUD,17681.16,USD,13511.94,A,,,,OUR,160720,2016-07-18T10:15:43.000000000-05:00,2016-07-18T15:15:43.000000000+00:00,2016/07/18 15:15:43,WFB,ANZ,CONFIRM
95c,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042740,2016/07/18 10:16:17,2016/07/20 00:00:00,AUD,95815.34,USD,73212.50,A,,,,OUR,160720,2016-07-18T10:16:17.000000000-05:00,2016-07-18T15:16:17.000000000+00:00,2016/07/18 15:16:17,WFB,ANZ,CONFIRM
96c,103,WFBIUS6SXXX,ANZBAU3MXXX,2016071800042740,2016/07/18 10:16:17,2016/07/20 00:00:00,AUD,5507.55,USD,4208.87,A,,,,OUR,160720,2016-07-18T10:16:17.000000000-05:00,2016-07-18T15:16:17.000000000+00:00,2016/07/18 15:16:17,WFB,ANZ,CONFIRM
