Senders Reference,Time Indication,Value Date,Currency,Interbank Settled Amount,Curency,Instructed Amount,Account With Institution,Details of Charges,Debit Credit Indicator,Ordering Institution
011436311930P4842,09-JUN-16 03.57.32.768000000 PM,14-JUN-16 12.00.00.000000000 AM,AUD,2018.3,AUD,2018.3,ANZ,SHA,DR,WF
011438881121L2513,13-JUN-16 11.39.23.801000000 AM,15-JUN-16 12.00.00.000000000 AM,AUD,133.67,AUD,133.67,ANZ,OUR,DR,WF
011438881122L2645,13-JUN-16 11.39.25.465000000 AM,15-JUN-16 12.00.00.000000000 AM,AUD,3380.72,AUD,3380.72,ANZ,OUR,DR,WF
011439451810R0936,13-JUN-16 05.25.45.770000000 PM,14-JUN-16 12.00.00.000000000 AM,AUD,1362,AUD,1362,ANZ,OUR,DR,WF
011451621890N3023,20-JUN-16 01.48.11.386000000 PM,20-JUN-16 12.00.00.000000000 AM,USD,1160.23,USD,1160.23,ANZ,OUR,DR,WF
011432389150D0314,08-JUN-16 03.32.13.441000000 AM,10-JUN-16 12.00.00.000000000 AM,AUD,3300,AUD,3300,ANZ,OUR,DR,WF
011440089214O5731,13-JUN-16 03.05.38.341000000 PM,15-JUN-16 12.00.00.000000000 AM,AUD,1795.2,AUD,1795.2,ANZ,OUR,DR,WF
P1606070010026OP,07-JUN-16 06.35.11.414000000 AM,09-JUN-16 12.00.00.000000000 AM,AUD,136.42,AUD,136.42,ANZ,OUR,DR,WF
P1606140117257OP,14-JUN-16 02.29.30.174000000 PM,15-JUN-16 12.00.00.000000000 AM,AUD,2212.62,AUD,2212.62,ANZ,OUR,DR,WF
2016061137057,13-JUN-16 01.50.45.439000000 AM,14-JUN-16 12.00.00.000000000 AM,AUD,1187.68,AUD,1187.68,ANZ,OUR,DR,WF
011438303910R5626,10-JUN-16 06.14.41.961000000 PM,14-JUN-16 12.00.00.000000000 AM,AUD,1840088,AUD,1840088,ANZ,OUR,DR,WF
2016062271490RB,22-JUN-16 05.54.35.076000000 AM,23-JUN-16 12.00.00.000000000 AM,AUD,1339600,AUD,1339600,ANZ,OUR,DR,WF
011456722111Q2134,22-JUN-16 04.33.30.329000000 PM,23-JUN-16 12.00.00.000000000 AM,AUD,6276.18,AUD,6276.18,ANZ,OUR,DR,WF
011432315420N5349,08-JUN-16 02.07.44.802000000 PM,10-JUN-16 12.00.00.000000000 AM,AUD,1200,AUD,1200,ANZ,OUR,DR,WF
011439993160M4139,13-JUN-16 09.17.51.952000000 PM,14-JUN-16 12.00.00.000000000 AM,AUD,41000,AUD,41000,ANZ,OUR,DR,WF
011415811040L4552,31-MAY-16 12.08.39.772000000 PM,01-JUN-16 12.00.00.000000000 AM,AUD,5107.2,AUD,5107.2,ANZ,OUR,DR,WF
011417052190P5307,31-MAY-16 04.06.45.910000000 PM,02-JUN-16 12.00.00.000000000 AM,AUD,404.49,AUD,404.49,ANZ,OUR,DR,WF
011408145511M2820,01-JUN-16 12.50.05.531000000 PM,02-JUN-16 12.00.00.000000000 AM,AUD,5307.36,AUD,5307.36,ANZ,OUR,DR,WF
011446732160P2332,16-JUN-16 03.37.22.579000000 PM,20-JUN-16 12.00.00.000000000 AM,AUD,909.5,AUD,909.5,ANZ,SHA,DR,WF
2016061177091,17-JUN-16 01.46.23.211000000 AM,20-JUN-16 12.00.00.000000000 AM,AUD,224.56,AUD,224.56,ANZ,OUR,DR,WF
2016053107032,30-MAY-16 01.34.59.523000000 AM,01-JUN-16 12.00.00.000000000 AM,AUD,38680.83,AUD,38680.83,ANZ,OUR,DR,WF
P1605310311357OP,31-MAY-16 12.23.24.288000000 PM,01-JUN-16 12.00.00.000000000 AM,AUD,2212.62,AUD,2212.62,ANZ,OUR,DR,WF
P1606170010030OP,17-JUN-16 06.30.33.946000000 AM,21-JUN-16 12.00.00.000000000 AM,AUD,570.21,AUD,570.21,ANZ,OUR,DR,WF
011417175810Q4137,31-MAY-16 05.51.13.981000000 PM,01-JUN-16 12.00.00.000000000 AM,AUD,27000,AUD,27000,ANZ,OUR,DR,WF
